Time,Date,NB Guess,SVM Guess,Tweet Text
16:46:17,2016-12-08,1,1,@johnP_hayes @Delta @CFAPeachBowl I am an #SEC fan but they need to have game closer to Washington
16:46:23,2016-12-08,2,0,@united oh, that's easy. My favorite airline gate to go to is always the one in front of me.
16:46:24,2016-12-08,2,2,@Delta we're not moving and haven't been in an hr. I'm safe. But i can get mastitis and wind up in hospital. That's not safe.
16:46:26,2016-12-08,2,2,#SoaringWithDisneyMoanaSweepstakes  Can't wait to go back!!  @HawaiianAir
16:46:32,2016-12-08,2,2,Now we need GPS controlled flights to make for a more effective use of airspace https://t.co/A0DB2rJUFU
16:46:32,2016-12-08,2,2,@SouthwestAir do my rapid rewards point expire at the end of the year? Or do they accumulate
16:46:39,2016-12-08,2,0,@MCO nice tree.  @Delta on my way to @DTWeetin https://t.co/wxjc9mctWY
16:46:40,2016-12-08,2,2,@Delta has been playing with my emotions since 11:30 this morning and I am done
16:46:46,2016-12-08,2,2,@Delta headache still, tired n now dizzy n nauseous. Yuck
16:46:55,2016-12-08,2,2,@GloUpElite @onlyonejj22 @JetBlue when you live in FL like me https://t.co/B7Jce4nfvg
16:46:58,2016-12-08,2,2,@united Feels like another way to increase the disparity between the haves and have nots. Affordable travel is hard enough to find. Bummer.
16:47:20,2016-12-08,2,1,@SouthwestAir But it's coming back next month,  right!? RIGHT?!
16:47:24,2016-12-08,2,2,@AmericanAir #AAElevate https://t.co/OO8fsWxrlM
16:47:27,2016-12-08,2,2,@united not good enough.  Not even close.
16:47:37,2016-12-08,2,2,So far @AmericanAir delayed my flight from Philly to Bham for 2hrs before cancelling that flight. Now rerouted thru DC and delayed again.
16:47:39,2016-12-08,2,2,MarketingProfs : Dear JetBlue: About to take off on my last flight of the year, back home … https://t.co/TMAn8G4XJt) https://t.co/06B0JzVLzC
16:47:42,2016-12-08,2,0,MarketingProfs : JetBlue https://t.co/oEbg850JMg (via Twitter https://t.co/ywaN3EdGon) https://t.co/tr119KRkrB
16:47:52,2016-12-08,2,2,@VirginAtlantic that's where we started and have also sent a response to them and Delta who we finally flew with. Awaiting further response
16:47:58,2016-12-08,2,2,#SoaringWithDisneyMoanaSweepstakes https://t.co/70G72n9yIa
16:47:58,2016-12-08,2,2,@Delta @DeltaAssist Which of your planes with Delta Comfort have screens to watch TV and movies.  It seems that none of your MD80 planes do?
16:48:00,2016-12-08,2,2,@Delta entered to win affair and hotel to Toronto for MLS cup. Would really appreciate winning that, Delta is the greatest.
16:48:06,2016-12-08,2,2,@Delta A more streamlined manual boarding process would be a good start. This is ridiculous.
16:48:08,2016-12-08,2,2,@AmericanAir apologizes after removing disabled boy's family and service dog from #flight - Nipawin Journal : https://t.co/e6H9EYYXkK
16:48:21,2016-12-08,2,2,.@SouthwestAir sometimes you guys make me really really sad. I rarely hear of issues with SW, but I'm certainly not flying with you again.
16:48:21,2016-12-08,2,2,When you win a online contest with @AmericanAir but don't see it until months later and can't claim your prize 💔 👎🏽… https://t.co/SOSyukcjgH
16:48:25,2016-12-08,2,2,@SouthwestAir A hoot indeed and when in doubt, throw what you know! In this case, and X's and O's !
16:48:34,2016-12-08,2,2,@HawaiianAir
16:48:41,2016-12-08,2,1,I would like to explore the pyramids in Belize #BelizeGiveaway #southwestpassport @tiffpenguin @SouthwestAir
16:48:41,2016-12-08,2,0,@joemara @Delta @DTWeetin Nice tree selfie, Joe! Thanks for hanging with us this afternoon. #MCOtraditions
16:48:48,2016-12-08,2,1,@SouthwestAir I see I have TSA Precheck on my mobile boarding pass, but I do not see my known traveler number on there? Is that ok?
16:48:48,2016-12-08,2,2,As @Delta announces new #snack lineup, more on in-flight treat trends: https://t.co/uguTRFxEyg #DeltaSnackSwap… https://t.co/MUaY2BfdbN
16:48:51,2016-12-08,2,2,@GCISD @GarySiniseFound @AmericanAir "The nation which forgets its defenders will be itself forgotten." - Calvin Co… https://t.co/kEO8bwQslR
16:48:57,2016-12-08,2,2,@Delta kudos to Jackie on medallion help line for sorting out miles credit issues! I forgot to stay on line for survey
16:48:59,2016-12-08,2,2,#NRBP thanks @united @PNCBank @NJDevils and @WholeFoods for providing door prizes for the 2016 Annual Meeting and H… https://t.co/7WCIJDzNGY
16:49:06,2016-12-08,2,2,@FlyFrontier has not DONE RIGHT. I witnessed them contradict themselves by discriminating against people with Tats #TATTOOEDLIVESMATTER
16:49:07,2016-12-08,2,2,.@united expired 35k miles even though I spent thousands $$$ with them over last 2 months. #unitedairlines #frequentflyer #customerservice
16:49:17,2016-12-08,0,0,@united congratulations! How lovely of you.
16:49:22,2016-12-08,2,2,I will avoid @united for every possible trip. Your nickel and diming of travelers is gross and obnoxious. https://t.co/CaCMktwgzu
16:49:25,2016-12-08,2,2,A family that flies together also has a lot of fun together! 😉❤️✈️@united https://t.co/NPjmsGIifH
16:49:28,2016-12-08,2,2,@SouthwestAir ~○°○~*Apparate!*~○°○~
16:49:36,2016-12-08,0,0,Thank you @Delta :) https://t.co/u9IvziJuJM
16:49:47,2016-12-08,2,2,My favorite #airline @Delta is offering #free dining service for a week... between #LosAngeles and #NewYork. Miss hot airline meals!
16:49:51,2016-12-08,2,1,@JetBlue Does MCO-SLC count toward the Go Long bonus? &gt;1600 miles, but does not appear on list of qualifying flights. Thanks in advance!
16:49:51,2016-12-08,1,1,@AmericanAir Hi could you check your DM please
